,tbl_no,indicator,survey_id,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up,geog_type,area_name,area_type,district_code,district_name,province_name
0,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sinjawi Sub-Tehsil,Urban,128,Ziarat,Balochistan
1,tbl_05,Gender_Age_Group_Population,Census2017,Female,47419,1565,8135,16454,23635,22594,8117,11687,20246,23062,19761,22156,2561,1745,geog_1,Judba Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
2,tbl_05,Gender_Age_Group_Population,Census2017,Female,520686,11760,0,0,205447,226215,98759,141967,258126,,262876,294933,34579,23028,geog_1,Sahiwal Tehsil,Rural,61,Sahiwal,Punjab
3,tbl_05,Gender_Age_Group_Population,Census2017,Female,87297,2325,10308,20006,31816,38140,18719,26292,45191,53004,44834,51400,6963,4564,geog_1,Mastuj Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
4,tbl_05,Gender_Age_Group_Population,Census2017,Female,477518,10962,59485,118542,176177,197286,89544,135626,253438,294321,259030,283292,26507,15970,geog_1,Islamabad Tehsil,Rural,135,Islamabad,Islamabad Capital Territory
5,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr D.I.Khan,Urban,34,Fr D.I.Khan,Fata
6,tbl_05,Gender_Age_Group_Population,Census2017,Female,33081,816,4456,9212,13952,15763,7046,9772,16248,18664,15849,17635,1890,1244,geog_1,Fr Peshawar,Rural,37,Fr Peshawar,Fata
7,tbl_05,Gender_Age_Group_Population,Census2017,Female,111181,3156,16201,31177,46436,51196,23448,32600,53984,62374,52630,59640,7592,4858,geog_1,Chitral Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
8,tbl_05,Gender_Age_Group_Population,Census2017,Female,5863,150,1011,1939,2839,2630,922,1374,2524,2936,2486,2793,333,208,geog_1,Barkhan Tehsil,Urban,129,Barkhan,Balochistan
9,tbl_05,Gender_Age_Group_Population,Census2017,Female,387632,10226,55645,112188,163537,171848,71515,102048,184429,214895,185834,209455,24952,16759,geog_1,Pakpattan Tehsil,Rural,63,Pakpattan,Punjab
10,tbl_05,Gender_Age_Group_Population,Census2017,Female,168273,5008,30066,58813,83102,79198,29668,43541,72596,83729,71377,78615,7989,4948,geog_1,Tank Tehsil,Rural,4,Tank,Khyber Paktunkhwa
11,tbl_05,Gender_Age_Group_Population,Census2017,Female,55455,1358,7084,13981,21239,23952,10959,15811,28735,33372,28893,31881,3152,2006,geog_1,Arif Wala Tehsil,Urban,63,Pakpattan,Punjab
12,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mastuj Sub-Division,Urban,20,Chitral,Khyber Paktunkhwa
13,tbl_05,Gender_Age_Group_Population,Census2017,Female,20826,565,3771,7584,10348,9927,3701,5436,8949,10232,9011,9835,935,597,geog_1,Fr Bannu,Rural,33,Fr Bannu,Fata
14,tbl_05,Gender_Age_Group_Population,Census2017,Female,23456,575,2951,5580,8722,10458,5242,7408,12469,14403,12150,13493,1481,886,geog_1,Chitral Sub-Division,Urban,20,Chitral,Khyber Paktunkhwa
15,tbl_05,Gender_Age_Group_Population,Census2017,Female,199314,4543,25082,50882,78328,88513,39701,55648,99953,115713,99375,112400,14079,9707,geog_1,Hafizabad Tehsil,Rural,49,Hafizabad,Punjab
16,tbl_05,Gender_Age_Group_Population,Census2017,Female,173043,4778,26457,52495,77344,82287,35394,50392,83024,94571,80465,87920,8273,5122,geog_1,Swat Rani Zai Sub-Division,Rural,25,Malakand,Khyber Paktunkhwa
17,tbl_05,Gender_Age_Group_Population,Census2017,Female,68354,1674,8860,17862,27284,30861,13913,19835,35074,40091,34632,38018,3659,2455,geog_1,Pindi Bhattian Tehsil,Urban,49,Hafizabad,Punjab
18,tbl_05,Gender_Age_Group_Population,Census2017,Female,17632,423,3128,6115,8572,8160,3063,4610,7579,8829,7576,8384,880,578,geog_1,Fr Tank,Rural,38,Fr Tank,Fata
19,tbl_05,Gender_Age_Group_Population,Census2017,Female,75237,2365,15259,28785,38290,32276,10321,16212,30622,35392,31255,34946,3999,2631,geog_1,Barkhan Tehsil,Rural,129,Barkhan,Balochistan
20,tbl_05,Gender_Age_Group_Population,Census2017,Female,58851,1300,8281,16757,25045,27387,11873,17007,28432,32655,28069,31275,3433,2401,geog_1,Fr Kohat,Rural,35,Fr Kohat,Fata
21,tbl_05,Gender_Age_Group_Population,Census2017,Female,132817,3620,23701,46015,65233,63686,24992,35670,58424,66660,56585,62067,6080,3762,geog_1,Sarai Naurang Tehsil,Rural,2,Lakki Marwat,Khyber Paktunkhwa
22,tbl_05,Gender_Age_Group_Population,Census2017,Female,115490,2929,16875,33748,51184,55142,23791,34043,55189,63432,53490,59075,6165,3832,geog_1,Hangu Tehsil,Rural,11,Hangu,Khyber Paktunkhwa
23,tbl_05,Gender_Age_Group_Population,Census2017,Female,44413,1204,7872,15842,21371,19775,7006,11191,19692,22453,19881,21805,2093,1319,geog_1,Sinjawi Sub-Tehsil,Rural,128,Ziarat,Balochistan
24,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Tank,Urban,38,Fr Tank,Fata
25,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Kohat,Urban,35,Fr Kohat,Fata
26,tbl_05,Gender_Age_Group_Population,Census2017,Female,31793,990,5139,9902,14180,14968,6631,9476,15614,17450,14829,16110,1411,867,geog_1,Ziarat Tehsil,Rural,128,Ziarat,Balochistan
27,tbl_05,Gender_Age_Group_Population,Census2017,Female,65275,1441,7358,14610,22290,26004,12253,18187,34846,41176,36002,40409,4796,2990,geog_1,Haripur Tehsil,Urban,7,Haripur,Khyber Paktunkhwa
28,tbl_05,Gender_Age_Group_Population,Census2017,Female,20405,596,2801,5311,7843,8647,4001,5768,10341,12130,10516,11700,1313,828,geog_1,Lachi Tehsil,Urban,13,Kohat,Khyber Paktunkhwa
29,tbl_05,Gender_Age_Group_Population,Census2017,Female,28538,723,3969,7855,11973,13350,6000,8400,14148,16300,13753,15133,1509,919,geog_1,Lakki Marwat Tehsil,Urban,2,Lakki Marwat,Khyber Paktunkhwa
30,tbl_05,Gender_Age_Group_Population,Census2017,Female,1124167,31761,179050,354248,525049,549886,230741,325943,531443,598466,507543,548067,44848,27506,geog_1,Peshawar Tehsil,Rural,18,Peshawar,Khyber Paktunkhwa
31,tbl_05,Gender_Age_Group_Population,Census2017,Female,173563,4273,23042,46954,69554,75419,32381,46144,84650,98688,85257,97125,12775,8795,geog_1,Pindi Bhattian Tehsil,Rural,49,Hafizabad,Punjab
32,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sherani Sub-Division,Urban,133,Sherani,Balochistan
33,tbl_05,Gender_Age_Group_Population,Census2017,Female,32799,800,4832,9881,14602,15731,6750,9733,16012,18115,15377,16707,1494,871,geog_1,Swat Rani Zai Sub-Division,Urban,25,Malakand,Khyber Paktunkhwa
34,tbl_05,Gender_Age_Group_Population,Census2017,Female,37855,1196,6139,12382,18015,17686,6615,9474,16547,18962,16139,18396,2405,1683,geog_1,Khander Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
35,tbl_05,Gender_Age_Group_Population,Census2017,Female,365211,9345,45850,89100,132941,149703,69692,101900,187955,221604,192170,217737,27218,17746,geog_1,Haripur Tehsil,Rural,7,Haripur,Khyber Paktunkhwa
36,tbl_05,Gender_Age_Group_Population,Census2017,Female,47142,1045,0,0,16982,20026,9464,13738,25235,,25709,28164,2686,1679,geog_1,Chichawatni Tehsil,Urban,61,Sahiwal,Punjab
37,tbl_05,Gender_Age_Group_Population,Census2017,Female,1706,38,256,496,731,770,340,489,877,976,836,897,65,44,geog_1,Ziarat Tehsil,Urban,128,Ziarat,Balochistan
38,tbl_05,Gender_Age_Group_Population,Census2017,Female,317098,7589,44324,89575,134172,146106,63581,91067,154234,177781,151405,168758,18984,12468,geog_1,Kohat Tehsil,Rural,13,Kohat,Khyber Paktunkhwa
39,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Kohat,Urban,35,Fr Kohat,Fata
40,tbl_05,Gender_Age_Group_Population,Census2017,Male,72137,1934,9601,18607,27999,30089,13134,18612,34678,41672,35453,41162,6045,3909,geog_1,Ghazi Tehsil,Rural,7,Haripur,Khyber Paktunkhwa
41,tbl_05,Gender_Age_Group_Population,Census2017,Male,92527,2678,16610,33747,50326,49792,18499,24497,36759,41456,33360,37766,4768,3168,geog_1,Tall Tehsil,Rural,11,Hangu,Khyber Paktunkhwa
42,tbl_05,Gender_Age_Group_Population,Census2017,Male,121144,2588,15040,30034,46382,56750,27951,37581,63235,72725,62804,69406,7218,4580,geog_1,Kohat Tehsil,Urban,13,Kohat,Khyber Paktunkhwa
43,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sherani Sub-Division,Urban,133,Sherani,Balochistan
44,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sam Rani Zai Sub-Division,Urban,25,Malakand,Khyber Paktunkhwa
45,tbl_05,Gender_Age_Group_Population,Census2017,Male,404804,11011,58431,118789,174451,181083,73126,101858,185996,219676,187844,213434,26958,18740,geog_1,Pakpattan Tehsil,Rural,63,Pakpattan,Punjab
46,tbl_05,Gender_Age_Group_Population,Census2017,Male,56800,1399,7293,14641,22475,24780,10828,15317,28518,33603,28991,31904,3102,1952,geog_1,Arif Wala Tehsil,Urban,63,Pakpattan,Punjab
47,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Peshawar,Urban,37,Fr Peshawar,Fata
